est	obs	kind
10.7077817917	42	est/obs
81.6461877823	97	est/obs
25.1063222885	38	est/obs
97.9024085999	63	est/obs
50.9770107269	41	est/obs
60.6969566345	52	est/obs
45.2948484421	42	est/obs
119.344874382	73	est/obs
81.1760644913	33	est/obs
53.9709949493	60	est/obs
103.0	103	est/obs
36.0	36	est/obs
56.0	56	est/obs
146.0	146	est/obs
205.0	205	est/obs
35.0	35	est/obs
254.0	254	est/obs
34.0	34	est/obs
58.0	58	est/obs
1493.99509239	1492	est/obs
175.0	175	est/obs
40.0	40	est/obs
1493.97614098	1492	est/obs
1045.0	1045	est/obs
394.0	394	est/obs
42.0	42	est/obs
172.0	172	est/obs
30.0	30	est/obs
476.0	476	est/obs
199.0	199	est/obs
33.0	33	est/obs
449.999975204	449	est/obs
387.999979973	388	est/obs
171.0	171	est/obs
1456.0	1456	est/obs
71.0	71	est/obs
484.999905586	483	est/obs
434.989279747	435	est/obs
120.0	120	est/obs
34.0	34	est/obs
36.0	36	est/obs
36.0	36	est/obs
36.0	36	est/obs
36.0	36	est/obs
62.0	62	est/obs
46.0	46	est/obs
62.0	62	est/obs
62.0	62	est/obs
31.0	31	est/obs
31.0	31	est/obs
42.0	42	est/obs
38.0	38	est/obs
81.0	81	est/obs
75.0	75	est/obs
81.0	81	est/obs
78.0	78	est/obs
81.0	81	est/obs
60.0	60	est/obs
144.0	144	est/obs
69.0	69	est/obs
144.0	144	est/obs
115.0	115	est/obs
123.0	123	est/obs
41.0	41	est/obs
144.0	144	est/obs
54.0	54	est/obs
62.0	62	est/obs
36.0	36	est/obs
41.0	41	est/obs
59.0	59	est/obs
32.0	32	est/obs
35.0	35	est/obs
35.0	35	est/obs
35.0	35	est/obs
76.0	76	est/obs
80.0	80	est/obs
126.0	126	est/obs
35.0	35	est/obs
40.0	40	est/obs
139.0	139	est/obs
446.0	446	est/obs
153.0	153	est/obs
451.0	451	est/obs
51.0	51	est/obs
131.0	131	est/obs
313.0	313	est/obs
65.0	65	est/obs
43.0	43	est/obs
451.0	451	est/obs
124.0	124	est/obs
42.0	42	est/obs
72.0	72	est/obs
41.0	41	est/obs
41.0	41	est/obs
36.0	36	est/obs
50.0	50	est/obs
58.0	58	est/obs
58.0	58	est/obs
58.0	58	est/obs
40.0	40	est/obs
293.0	293	est/obs
128.999966621	129	est/obs
106.0	106	est/obs
504.999322891	504	est/obs
242.0	242	est/obs
41.0	41	est/obs
1859.0	1859	est/obs
1094.0	1094	est/obs
314.0	314	est/obs
194.0	194	est/obs
748.955897331	749	est/obs
128.0	128	est/obs
31.0	31	est/obs
481.999787331	482	est/obs
156.0	156	est/obs
340.0	340	est/obs
110.999962807	111	est/obs
128.999875069	129	est/obs
504.996626854	504	est/obs
242.0	242	est/obs
41.0	41	est/obs
156.0	156	est/obs
314.0	314	est/obs
194.0	194	est/obs
293.0	293	est/obs
128.0	128	est/obs
31.0	31	est/obs
481.998942375	482	est/obs
106.0	106	est/obs
340.0	340	est/obs
110.999871254	111	est/obs
106.0	106	est/obs
347.0	347	est/obs
41.0	41	est/obs
156.0	156	est/obs
177.0	177	est/obs
1094.0	1094	est/obs
321.0	321	est/obs
266.0	266	est/obs
42.0	42	est/obs
42.0	42	est/obs
42.0	42	est/obs
34.0	34	est/obs
128.0	128	est/obs
53.0	53	est/obs
75.0	75	est/obs
53.0	53	est/obs
129.0	129	est/obs
292.0	292	est/obs
293.0	293	est/obs
58.0	58	est/obs
293.0	293	est/obs
293.0	293	est/obs
100.0	100	est/obs
293.0	293	est/obs
128.0	128	est/obs
75.0	75	est/obs
111.0	111	est/obs
58.8904066086	66	est/obs
58.8234214783	58	est/obs
48.2515983582	62	est/obs
31.7130317688	54	est/obs
50.9054298401	61	est/obs
30.0	30	est/obs
30.0	30	est/obs
30.0	30	est/obs
53.0	53	est/obs
476.0	476	est/obs
112.0	112	est/obs
476.0	476	est/obs
57.0	57	est/obs
476.0	476	est/obs
339.0	339	est/obs
77.0	77	est/obs
84.0	84	est/obs
137.0	137	est/obs
96.0	96	est/obs
30.0	30	est/obs
57.0	57	est/obs
197.0	197	est/obs
56.0	56	est/obs
199.0	199	est/obs
50.0	50	est/obs
199.0	199	est/obs
122.0	122	est/obs
72.0	72	est/obs
103.0	103	est/obs
38.0	38	est/obs
34.0	34	est/obs
41.0	41	est/obs
41.0	41	est/obs
41.0	41	est/obs
32.0	32	est/obs
37.5602312088	55	est/obs
32.5753211975	56	est/obs
45.4210243225	58	est/obs
64.8427391052	64	est/obs
